DateTime,Entries,UniqueIPs
1501504922,31626,38794
1501505522,31630,38800
1501506171,31631,38802
1501507321,31630,38801
1501508405,31586,38757
1501508522,31590,38761
1501509831,31586,38758
1501510322,31589,38761
1501510921,31593,38765
1501512244,31648,38822
1501512722,31646,38821
1501513371,31644,38819
1501514163,31597,38771
1501514521,31593,38767
1501515122,31595,38769
1501515722,31595,38769
1501516083,31656,38830
1501516922,31649,38823
1501516971,31646,38820
1501517521,31647,38821
1501518122,31654,38830
1501518722,31658,38835
1501519321,31664,38842
1501519925,31663,38842
1501520571,31658,38837
1501521121,31663,38844
1501521721,31666,38848
1501522321,31667,38849
1501522922,31665,38847
1501523521,31665,38846
1501523766,31603,38784
1501524121,31603,38784
1501524722,31603,38784
1501525322,31600,38781
1501525682,31680,38861
1501525922,31681,38862
1501525982,31682,38863
1501526522,31685,38866
1501527121,31683,38864
1501527771,31685,38868
1501528322,31686,38869
1501528921,31688,38871
1501529521,31689,38872
1501530122,31691,38874
1501531445,31685,38868
1501531921,31687,38871
1501533363,31694,38879
1501533722,31692,38877
1501534971,31692,38884
1501535521,31694,38886
1501536122,31684,38876
1501536722,31685,38877
1501537204,31674,38865
1501537322,31680,38871
1501538571,31662,38853
1501539122,31660,38851
1501539721,31660,38851
1501541044,31640,38830
1501541522,31641,38831
1501542121,31641,38831
1501542171,31639,38829
1501542722,31635,38824
1501543322,31632,38824
1501543921,31633,38825
1501543981,31590,38782
1501544522,31592,38785
1501544882,31684,38877
1501545051,31685,38878
1501545773,31690,38883
1501546322,31687,38881
1501546804,31587,38781
1501546922,31583,38777
1501547581,31581,38775
1501548122,31582,38776
1501548721,31581,38775
1501549372,31578,38772
1501550522,31573,38767
1501551121,31571,38765
1501551721,31573,38767
1501552321,31575,38769
1501552564,31614,38809
1501553031,31610,38805
1501554484,31542,38737
1501554722,31543,38738
1501555322,31542,38737
1501556406,31622,38818
1501556521,31626,38822
1501556572,31625,38821
1501557122,31624,38820
1501557722,31626,38822
1501558324,31523,38719
1501558923,31533,38728
1501559521,31535,38730
1501560243,31620,38815
1501560721,31623,38818
1501561322,31618,38813
1501562164,31611,38806
1501562521,31610,38805
1501563122,31603,38798
1501563832,31608,38802
1501564923,31608,38802
1501566011,31629,38823
1501566121,31618,38812
1501566722,31619,38813
1501567372,31617,38811
1501567922,31617,38811
1501568522,31616,38810
1501569122,31616,38809
1501569181,31615,38808
1501570085,31536,38729
1501570972,31538,38731
1501571522,31539,38732
1501572121,31540,38733
1501572722,31539,38732
1501573322,31537,38730
1501573922,31536,38729
1501574572,31536,38729
1501576084,31680,38873
1501576322,31681,38874
1501576381,31685,38878
1501576921,31686,38879
1501578012,31624,38817
1501578232,31621,38814
1501578722,31622,38815
1501579922,31614,38807
1501581843,31569,38762
1501582322,31568,38761
1501582922,31563,38756
1501583521,31562,38755
1501585322,31560,38753
1501585682,31618,38811
1501586522,31612,38805
1501587605,31613,38806
1501587722,31617,38809
1501588322,31618,38810
1501589523,31621,38813
1501590122,31622,38814
1501591443,31557,38749
1501591921,31557,38749
1501592632,31556,38748
1501594922,31549,38741
1501595522,31549,38742
1501596122,31553,38746
1501596173,31555,38748
1501596721,31557,38750
1501597204,31620,38813
1501598521,31617,38809
1501599123,31579,38769
1501599722,31581,38771
1501599772,31579,38769
1501600321,31577,38767
1501600921,31574,38764
1501602963,31625,38815
1501603372,31626,38816
1501603921,31627,38817
1501604522,31635,38826
1501605122,31634,38825
1501605181,31635,38826
1501605721,31632,38823
1501606813,31583,38773
1501606972,31582,38772
1501607521,31577,38767
1501608122,31579,38769
1501608723,31654,38845
1501609321,31653,38844
1501609922,31649,38840
1501610573,31647,38838
1501612322,31643,38834
1501612804,31647,38838
1501613522,31647,38838
1501614174,31643,38833
1501614722,31576,38766
1501615835,31578,38768
1501616644,31647,38837
1501617722,31646,38836
1501617774,31645,38835
1501618321,31646,38836
1501619521,31645,38835
1501620121,31644,38834
1501620485,31646,38836
1501620721,31647,38837
1501621321,31646,38836
1501621372,31645,38835
1501621922,31647,38837
1501623122,31647,38837
1501623722,31645,38835
1501624323,31642,38832
1501625032,31637,38827
1501626122,31629,38819
1501626722,31633,38823
1501627322,31623,38813
1501628167,31512,38700
1501628573,31507,38695
1501629121,31503,38691
1501629722,31499,38687
1501630322,31465,38652
1501630921,31464,38651
1501631522,31463,38650
1501632245,31486,38673
1501634162,31532,38719
1501634521,31531,38718
1501635121,31533,38720
1501636083,31489,38676
1501636322,31489,38676
1501636921,31486,38673
1501637521,31487,38674
1501638003,31600,38788
