DateTime,Entries,UniqueIPs
1499305801,369,369
1499318702,370,370
1499341502,371,371
1499364002,372,372
1499371503,370,370
1499371803,372,372
1499385902,367,367
1499444103,366,366
1499444703,367,367
1499458502,368,368
1499462703,367,367
1499463002,368,368
1499463302,367,367
1499463602,368,368
1499463902,369,369
1499466302,368,368
1499466602,369,369
1499467503,369,369
1499472303,365,365
1499499903,364,364
1499500202,365,365
1499506202,363,363
1499506502,365,365
1499520602,366,366
1499529002,367,367
1499537103,368,368
1499541302,367,367
1499541602,368,368
1499544302,366,366
1499544603,368,368
1499552702,367,367
1499553002,368,368
1499558703,365,365
1499566502,366,366
1499582703,366,366
1499586302,366,366
1499586602,365,365
1499586902,366,366
1499589302,367,367
1499598602,365,365
1499598902,367,367
1499635502,366,366
1499635802,367,367
1499644803,366,366
1499658302,365,365
1499658603,366,366
1499688902,367,367
1499697302,368,368
1499698802,366,366
1499699102,368,368
1499705702,369,369
1499731202,368,368
1499744703,368,368
1499760002,369,369
1499813702,368,368
1499814302,369,369
1499817602,367,367
1499836502,366,366
1499836802,367,367
1499838002,366,366
1499838302,367,367
1499847002,367,367
1499849103,367,367
1499856302,366,366
1499859902,367,367
1499863502,367,367
1499868002,367,367
1499878502,366,366
1499878802,367,367
1499904002,366,366
1499921102,364,364
1499921402,366,366
1499925902,365,365
1499926202,366,366
1499937302,367,367
1499974502,365,365
1499975103,367,367
1499979903,368,368
1499990702,364,364
1499996703,363,363
1499997002,364,364
1499999103,363,363
1499999403,364,364
1500047702,364,364
1500063002,362,362
1500063302,364,364
1500077102,358,358
1500080102,358,358
1500091802,357,357
1500092402,358,358
1500116702,361,361
1500136202,362,362
1500145803,361,361
1500146103,362,362
1500163502,359,359
1500207002,359,359
1500209402,357,357
1500209701,359,359
1500210903,359,359
1500214502,359,359
1500214802,358,358
1500215102,359,359
1500244202,358,358
1500245402,359,359
1500247802,358,358
1500248102,359,359
1500249602,354,354
1500252602,352,352
1500252902,354,354
1500260702,352,352
1500261003,354,354
1500322202,353,353
1500323102,354,354
1500324902,352,352
1500325202,354,354
1500327002,354,354
1500330602,354,354
1500336303,351,351
1500337802,351,351
1500341102,349,349
1500341402,351,351
1500351303,350,350
1500351602,351,351
1500352202,351,351
1500355802,352,352
1500362402,351,351
1500362702,352,352
1500385502,354,354
1500395102,355,355
1500400202,354,354
1500400502,355,355
1500420603,354,354
1500420902,355,355
1500422703,352,352
1500428102,352,352
1500431701,353,353
1500432903,352,352
1500433202,353,353
1500450902,354,354
1500460202,355,355
1500469202,356,356
1500478203,357,357
1500501903,355,355
1500502202,357,357
1500509102,351,351
1500564902,351,351
1500568802,352,352
1500579302,352,352
1500587402,354,354
1500593102,352,352
1500593402,354,354
1500595502,351,351
1500621602,349,349
1500621902,351,351
1500628202,352,352
1500629702,351,351
1500635703,351,351
1500636302,352,352
1500639302,353,353
1500681602,349,349
1500683402,350,350
1500696303,351,351
1500712802,349,349
1500713102,351,351
1500735901,349,349
1500736202,351,351
1500743702,349,349
1500744003,351,351
1500765303,351,351
1500768002,347,347
1500768902,347,347
1500772503,347,347
1500779703,347,347
1500783302,347,347
1500783902,345,345
1500784202,347,347
1500806402,349,349
1500823202,350,350
1500838502,348,348
1500839102,350,350
1500854402,348,348
1500886202,349,349
1500905702,350,350
1500915302,351,351
1500938402,351,351
1500941102,348,348
1500942302,348,348
1500943502,346,346
1500943802,348,348
1500945902,348,348
1500951303,346,346
1500951602,348,348
1500956702,348,348
1500996002,347,347
1500996902,348,348
1500997802,349,349
1501027202,344,344
1501051502,344,344
1501052702,345,345
1501055402,345,345
1501056302,346,346
1501064103,344,344
1501064702,346,346
1501069502,348,348
1501076103,349,349
1501097402,347,347
1501097702,349,349
1501101902,350,350
1501113602,343,343
1501116302,343,343
1501136702,344,344
1501141502,344,344
1501182903,345,345
1501200002,344,344
1501205702,342,342
1501206303,344,344
1501223102,343,343
1501223403,344,344
1501232102,345,345
1501257602,344,344
1501258202,345,345
1501260602,346,346
1501286402,340,340
1501293902,339,339
1501294202,340,340
1501314602,341,341
1501336502,339,339
1501336802,341,341
1501373102,340,340
1501419002,338,338
1501419302,340,340
1501426202,338,338
1501426502,340,340
1501440002,338,338
1501440302,340,340
1501444202,340,340
1501447802,341,341
1501455902,343,343
1501459202,335,335
1501469102,333,333
1501469401,335,335
1501476602,335,335
1501480202,335,335
1501488002,334,334
1501488302,335,335
1501491002,335,335
1501494602,336,336
1501504202,335,335
1501504502,336,336
1501541103,334,334
1501541402,336,336
1501545602,333,333
1501573802,332,332
1501574102,333,333
1501579802,332,332
1501580402,333,333
1501588202,331,331
1501588502,333,333
1501624202,334,334
