DateTime,Entries,UniqueIPs
1501385807,513,513
1501386744,504,504
1501387700,482,482
1501388658,470,470
1501389623,463,463
1501390616,449,449
1501391547,448,448
1501392515,431,431
1501393463,407,407
1501394446,394,394
1501395383,394,394
1501396366,389,389
1501397307,390,390
1501398285,387,387
1501399234,379,379
1501400280,378,378
1501401388,373,373
1501402349,363,363
1501403309,365,365
1501404273,366,366
1501405272,374,374
1501406181,375,375
1501407147,377,377
1501408130,380,380
1501409088,378,378
1501410048,379,379
1501410991,376,376
1501411953,372,372
1501412930,370,370
1501413867,365,365
1501414826,361,361
1501415800,362,362
1501416751,364,364
1501417710,367,367
1501418673,366,366
1501419664,367,367
1501420583,364,364
1501421550,354,354
1501422514,354,354
1501423469,352,352
1501424703,347,347
1501425632,341,341
1501426582,327,327
1501427559,325,325
1501428518,326,326
1501429460,325,325
1501430504,322,322
1501431417,325,325
1501432344,322,322
1501433304,322,322
1501434280,322,322
1501435237,321,321
1501436202,320,320
1501437160,318,318
1501438501,325,325
1501439557,328,328
1501440513,326,326
1501441483,323,323
1501442428,324,324
1501443385,325,325
1501444355,323,323
1501445298,319,319
1501446250,319,319
1501447233,317,317
1501448191,314,314
1501449159,316,316
1501450104,312,312
1501451074,314,314
1501452104,315,315
1501453224,318,318
1501454169,321,321
1501455138,323,323
1501456111,326,326
1501457059,323,323
1501458045,321,321
1501458981,318,318
1501459963,317,317
1501460912,316,316
1501461866,310,310
1501462875,312,312
1501464755,312,312
1501465708,311,311
1501466683,312,312
1501467628,316,316
1501468600,314,314
1501469545,313,313
1501470531,313,313
1501471467,308,308
1501472426,314,314
1501473401,314,314
1501474353,313,313
1501475312,305,305
1501476275,298,298
1501477289,297,297
1501478203,304,304
1501479162,302,302
1501480112,306,306
1501481075,306,306
1501482036,300,300
1501482997,298,298
1501483952,303,303
1501484900,303,303
1501485849,307,307
1501486827,316,316
1501487777,315,315
1501488762,314,314
1501489711,320,320
1501490683,317,317
1501491702,315,315
1501492824,307,307
1501493778,308,308
1501494742,313,313
1501495710,315,315
1501496660,322,322
1501497636,327,327
1501498594,334,334
1501499546,342,342
1501500497,343,343
1501501465,345,345
1501502688,351,351
1501503644,353,353
1501504601,354,354
1501505552,358,358
1501506518,363,363
1501507502,362,362
1501508432,366,366
1501509397,365,365
1501510373,365,365
1501511319,365,365
1501512270,364,364
1501513316,367,367
1501514422,365,365
1501515387,373,373
1501516329,373,373
1501517312,376,376
1501518261,374,374
1501519240,371,371
1501520191,375,375
1501521158,373,373
1501522114,368,368
1501523074,365,365
1501524061,365,365
1501525005,363,363
1501525949,367,367
1501526928,371,371
1501528133,369,369
1501529063,375,375
1501530037,370,370
1501530993,376,376
1501531962,375,375
1501532900,378,378
1501533871,383,383
1501534891,386,386
1501535797,386,386
1501536762,394,394
1501537716,396,396
1501538691,402,402
1501539607,405,405
1501540595,407,407
1501541543,403,403
1501542513,400,400
1501543463,401,401
1501544437,400,400
1501545395,402,402
1501546363,405,405
1501547309,407,407
1501548261,405,405
1501549289,408,408
1501550207,404,404
1501551168,405,405
1501552107,397,397
1501553087,394,394
1501554039,393,393
1501554989,393,393
1501555956,392,392
1501556902,389,389
1501557859,391,391
1501558844,385,385
1501559797,388,388
1501560755,383,383
1501561705,384,384
1501562680,384,384
1501563706,384,384
1501564853,390,390
1501565783,394,394
1501566757,402,402
1501567719,405,405
1501568672,407,407
1501569650,415,415
1501570585,415,415
1501571564,421,421
1501572515,419,419
1501573476,416,416
1501574557,422,422
1501575627,426,426
1501576597,431,431
1501577553,433,433
1501578523,436,436
1501579460,440,440
1501580439,441,441
1501581392,444,444
1501582364,445,445
1501583303,441,441
1501584270,447,447
1501585296,445,445
1501586436,451,451
1501587644,453,453
1501588605,453,453
1501589613,458,458
1501590737,458,458
1501591719,463,463
1501592674,467,467
1501593625,466,466
1501594618,472,472
1501595547,472,472
1501596506,480,480
1501597460,483,483
1501598416,491,491
1501599384,490,490
1501600364,486,486
1501601568,486,486
1501602534,489,489
1501603473,491,491
1501604426,493,493
1501605411,496,496
1501606344,491,491
1501607325,504,504
1501608260,504,504
1501609242,504,504
1501610197,502,502
1501611314,508,508
1501612388,505,505
1501613322,504,504
