DateTime,AddedIPs,RemovedIPs
1498824307,0,1
1498827889,1,0
1498842296,0,1
1498845893,1,0
1498889093,0,1
1498896297,1,0
1498907108,0,1
1498910700,1,0
1498921508,0,1
1498925099,1,0
1498964713,0,1
1499025891,1,0
1499033089,1,0
1499072668,0,1
1499076256,1,0
1499115866,0,1
1499119471,1,0
1499137481,0,1
1499141086,1,0
1499155493,0,1
1499162681,1,0
1499166270,0,1
1499173476,1,0
1499205872,0,1
1499209469,1,1
1499213122,1,0
1499227495,0,1
1499231068,1,0
1499249080,0,1
1499259872,1,0
1499274274,18,0
1499277866,15,0
1499281484,6,0
1499285085,3,0
1499292274,0,3
1499295881,3,8
1499299508,0,1
1499303077,2,0
1499306678,0,2
1499313865,1,1
1499317488,2,7
1499321070,7,1
1499324679,4,2
1499328277,1,0
1499331878,0,6
1499335494,11,8
1499339076,6,20
1499342670,2,2
1499346293,2,0
1499349877,1,2
1499353472,3,1
1499360671,1,1
1499364287,1,1
1499378686,0,1
1499382278,2,0
1499385913,0,1
1499403882,1,0
1499407469,0,1
1499421897,1,0
1499432684,0,1
1499436279,1,0
1499450689,0,1
1499461487,1,1
1499465085,0,2
1499468673,3,1
1499472302,1,0
1499475933,0,2
1499479497,2,0
1499497490,0,1
1499501099,1,0
1499511889,0,1
1499519097,1,1
1499522689,1,0
1499526289,0,1
1499533500,1,0
1499540696,0,1
1499544296,1,0
1499547898,0,1
1499551500,1,0
1499555094,0,1
1499562284,1,0
1499569486,0,1
1499576690,1,1
1499583882,1,0
1499612686,0,1
1499619884,0,1
1499623502,1,0
1499627082,0,1
1499630686,1,0
1499637882,0,1
1499641471,1,0
1499677497,0,1
1499681084,1,0
1499706283,0,3
1499709888,3,0
1499753076,0,1
1499756699,1,0
1499771090,0,1
1499774688,1,0
1499792686,0,1
1499796291,1,0
1499799888,0,2
1499803492,2,0
1499817933,0,1
1499821498,0,1
1499825088,1,0
1499835888,1,0
1499850285,0,1
1499853915,1,1
1499857481,1,0
1499864697,0,2
1499868289,1,1
1499875487,1,0
1499879087,0,1
1499882696,1,0
1499889890,0,1
1499897091,1,1
1499904326,1,0
1499925879,0,1
1499929472,1,0
1499958271,0,1
1499961879,1,0
1499976283,0,1
1499990709,0,3
1499994301,2,1
1499997876,1,0
1500001473,1,0
1500026686,0,1
1500030268,1,0
1500033884,0,1
1500041087,1,0
1500062686,0,1
1500066280,1,0
1500105882,0,1
1500113074,1,0
1500138287,0,1
1500141882,1,0
1500156282,0,1
1500159884,1,0
1500224670,0,1
1500235484,1,0
1500246267,0,1
1500249903,1,0
1500257062,0,1
1500260658,1,0
1500267870,0,1
1500271467,1,0
1500282275,0,1
1500285869,1,0
1500300257,0,1
1500307467,1,1
1500318268,1,0
1500321869,0,1
1500325473,1,0
1500347090,0,1
1500350695,1,0
1500354291,0,1
1500357901,1,0
1500375895,0,1
1500379512,1,0
1500393899,0,1
1500408293,0,1
1500411890,1,0
1500415502,1,0
1500426286,0,1
1500429897,1,0
1500444288,0,1
1500447892,1,0
1500455095,0,1
1500458692,1,1
1500462296,1,0
1500476682,0,1
1500480290,1,0
1500487495,0,2
1500491109,1,1
1500498277,1,0
1500501904,1,0
1500545089,0,1
1500552302,1,0
1500559492,0,1
1500563089,1,1
1500566708,1,0
1500581088,0,2
1500584688,1,0
1500591899,1,0
1500599089,0,1
1500613481,0,1
1500620696,1,1
1500624288,1,0
1500710689,0,2
1500714318,1,0
1500725084,1,1
1500728684,1,1
1500732296,1,0
1500739476,0,1
1500750294,1,0
1500761088,0,1
1500764698,1,0
1500793471,0,1
1500797073,1,0
1500815058,0,1
1500825860,1,0
1500836682,0,1
1500840259,1,0
1500865469,0,1
1500869076,1,0
1500926663,0,1
1500933863,0,2
1500941058,2,0
1500944671,1,1
1500948271,1,0
1500987866,0,2
1500991478,3,0
1501002289,0,1
1501005875,0,1
1501013088,1,0
1501016672,0,1
1501020283,3,0
1501034672,0,1
1501038277,1,0
1501041893,0,1
1501045460,1,1
1501056279,1,1
1501059883,1,0
1501063492,0,1
1501070691,1,0
1501088701,0,1
1501092277,1,0
1501117493,0,1
1501121095,1,0
1501128298,0,1
1501135471,0,1
1501142684,1,0
1501153466,0,1
1501157071,1,0
1501164275,0,1
1501167885,1,0
1501171468,0,1
1501193087,1,0
1501254263,0,1
1501265070,1,0
1501293902,0,1
1501297479,1,0
1501333507,0,1
1501337093,1,0
1501365900,0,0
1501376720,0,1
1501380295,1,0
1501383890,0,1
1501387482,1,1
1501391095,0,1
1501394695,0,1
1501398300,2,0
1501401887,1,0
1501437887,0,1
1501441490,0,1
1501445088,2,0
1501470282,0,39
1501545845,39,0
1501556594,0,39
1501614172,7,0
1501635903,28,0
1501639486,3,0
